"","department"
"1","AEIS"
"10","ACTG"
"58","AFR"
"82","ASL"
"90","ANTH"
"214","ARB"
"232","ARCH"
"343","ART"
"374","ARH"
"461","ARTD"
"506","ARTC"
"531","ARTF"
"557","ARTM"
"583","ARTP"
"607","ARTO"
"637","ARTR"
"663","ARTS"
"690","ASIA"
"713","ASTR"
"718","BEHT"
"768","BIOE"
"794","BI"
"918","BLST"
"930","BRIN"
"934","BA"
"1000","BE"
"1018","CH"
"1149","CHN"
"1223","CINE"
"1266","CLAS"
"1299","CAS"
"1309","DSGN"
"1329","CDS"
"1391","COLT"
"1442","CIT"
"1447","CS"
"1543","CRES"
"1585","CPSY"
"1629","CFT"
"1652","CRWR"
"1682","DANC"
"1696","DAN"
"1748","DANE"
"1754","DSCI"
"1789","ERTH"
"1884","EALL"
"1919","EC"
"2006","EDUC"
"2040","EDST"
"2144","EDLD"
"2206","ENG"
"2336","ENVD"
"2340","ENVS"
"2403","ES"
"2467","EURO"
"2472","FHS"
"2503","FIN"
"2546","FLR"
"2589","FR"
"2635","GEOG"
"2740","GER"
"2807","GLBL"
"2883","GSL"
"2907","GRST"
"2919","GRK"
"2947","HBRW"
"2966","AAAP"
"3004","HIST"
"3139","HC"
"3162","HPHY"
"3239","HUM"
"3253","ICH"
"3261","IST"
"3269","IARC"
"3324","ITAL"
"3358","JPN"
"3426","JCOM"
"3606","JDST"
"3626","KRN"
"3648","LERC"
"3661","LA"
"3742","LT"
"3778","LAT"
"3806","LAS"
"3819","LAW"
"3967","LIB"
"3983","LING"
"4055","MGMT"
"4101","MKTG"
"4138","MATH"
"4270","MDVL"
"4280","MENA"
"4291","MIL"
"4310","ANTM"
"4332","MUS"
"4550","MUE"
"4630","MUJ"
"4683","MUP"
"4697","OBA"
"4730","PHIL"
"4820","PHYS"
"4930","PPPM"
"5058","PS"
"5181","PORT"
"5192","PREV"
"5209","PD"
"5238","PSY"
"5335","REL"
"5381","RL"
"5401","RUSS"
"5447","REES"
"5470","SCAN"
"5503","SPSY"
"5547","SOC"
"5637","SPAN"
"5697","SPED"
"5789","SBUS"
"5817","SPD"
"5840","SPM"
"5852","STAT"
"5853","SWAH"
"5862","SWED"
"5875","TA"
"5941","UGST"
"5960","WGS"
"6010","WR"
